,loss,lr,t
51,1.0999199151992798,0.0002,611.03975
52,1.0998499393463135,0.0002,608.5286875
53,1.0995700359344482,0.0002,607.4328125
54,1.099470853805542,0.0002,605.545125
55,1.099363923072815,0.0002,605.7439375
56,1.0993411540985107,0.0002,605.0871875
57,1.0992573499679565,0.0002,605.9785625
58,1.0991443395614624,0.0002,614.8210625
59,1.099083423614502,0.0002,608.604375
60,1.098923921585083,0.0002,606.2471875
61,1.098939061164856,0.0002,605.128625
62,1.0988941192626953,0.0002,608.1323125
63,1.0987236499786377,0.0002,605.7309375
64,1.0986740589141846,0.0002,614.278375
65,1.0985918045043945,0.0002,611.079125
66,1.0983901023864746,0.0002,607.3
67,1.0984411239624023,0.0002,607.3558125
68,1.0982272624969482,0.0002,606.1311875
69,1.0982046127319336,0.0002,606.1205
70,1.098027229309082,0.0002,611.9755
71,1.097978949546814,0.0002,607.4615625
72,1.0979052782058716,0.0002,609.5313125
73,1.0979502201080322,0.0002,607.05225
74,1.0977650880813599,0.0002,607.3848125
75,1.0975968837738037,0.0002,608.5470625
76,1.0976113080978394,0.0002,607.2838125
77,1.0974434614181519,0.0002,607.17
78,1.0975371599197388,0.0002,608.53575
79,1.0973790884017944,0.0002,606.5006875
80,1.0975446701049805,0.0002,605.4733125
81,1.0972181558609009,0.0002,605.759625
82,1.0972522497177124,0.0002,610.362
83,1.0971838235855103,0.0002,607.1131875
84,1.0971910953521729,0.0002,607.4576875
85,1.0971399545669556,0.0002,608.425875
86,1.09684157371521,0.0002,605.73525
87,1.0968815088272095,0.0002,606.312375
88,1.097029209136963,0.0002,605.652625
89,1.0968565940856934,0.0002,609.6639375
90,1.096724271774292,0.0002,614.3415625
91,1.0967752933502197,0.0002,608.11925
92,1.0965677499771118,0.0002,611.1059375
93,1.0965278148651123,0.0002,606.27325
94,1.0966118574142456,0.0002,606.4345
95,1.096494197845459,0.0002,608.3079375
96,1.0964488983154297,0.0002,613.5423125
97,1.096386432647705,0.0002,606.2709375
98,1.0964329242706299,0.0002,607.075125
99,1.0962910652160645,0.0002,609.1210625
100,1.0961114168167114,0.0002,606.7529375
101,1.0960988998413086,0.0002,604.8355625
102,1.0959852933883667,0.0002,604.7890625
103,1.096096158027649,0.0002,611.4433125
104,1.0959869623184204,0.0002,609.39425
105,1.0957756042480469,0.0002,607.4243125
106,1.0959346294403076,0.0002,605.5446875
107,1.0958009958267212,0.0002,606.806125
108,1.0957916975021362,0.0002,605.743
109,1.0958001613616943,0.0002,611.3274375
110,1.0956584215164185,0.0002,607.42975
111,1.0956476926803589,0.0002,611.1925625
112,1.0956311225891113,0.0002,604.72075
113,1.0955860614776611,0.0002,605.311
114,1.095576524734497,0.0002,605.0093125
115,1.095341682434082,0.0002,609.1509375
116,1.0954172611236572,0.0002,606.176375
117,1.0953288078308105,0.0002,607.848
118,1.0952578783035278,0.0002,608.0465625
119,1.095298409461975,0.0002,605.89725
120,1.0951107740402222,0.0002,604.86875
121,1.0951828956604004,0.0002,604.7788125
122,1.0952386856079102,0.0002,613.5343125
123,1.0950748920440674,0.0002,605.1376875
124,1.095138430595398,0.0002,606.44475
125,1.095127820968628,0.0002,605.2150625
126,1.0949735641479492,0.0002,605.4505
127,1.0949735641479492,0.0002,605.6270625
128,1.0949584245681763,0.0002,612.7128125
129,1.0948081016540527,0.0002,608.738375
130,1.0948518514633179,0.0002,606.5726875
131,1.0947864055633545,0.0002,607.9648125
132,1.0947606563568115,0.0002,606.4398125
133,1.0947141647338867,0.0002,606.011875
134,1.0947346687316895,0.0002,606.00925
135,1.0947407484054565,0.0002,618.0749375
136,1.0946869850158691,0.0002,609.7060625
137,1.094509243965149,0.0002,605.7550625
138,1.094475269317627,0.0002,606.005125
139,1.0945574045181274,0.0002,607.814125
140,1.0944628715515137,0.0002,604.857875
141,1.0943844318389893,0.0002,617.0905
142,1.0944652557373047,0.0002,608.4840625
143,1.0944880247116089,0.0002,607.858625
144,1.0943573713302612,0.0002,607.3518125
145,1.0943107604980469,0.0002,609.0115
146,1.0942752361297607,0.0002,606.5744375
147,1.0942466259002686,0.0002,605.81375
148,1.094221591949463,0.0002,609.1309375
149,1.094175100326538,0.0002,608.278375
150,1.0943410396575928,0.0002,607.2259375
151,1.0942182540893555,0.0002,604.9163125
152,1.0941358804702759,0.0002,607.5238125
153,1.0939669609069824,0.0002,605.631875
154,1.0939698219299316,0.0002,611.93125
155,1.0940423011779785,0.0002,609.860875
156,1.0939761400222778,0.0002,609.2893125
157,1.0939438343048096,0.0002,606.5638125
158,1.0938931703567505,0.0002,606.4531875
159,1.0939526557922363,0.0002,605.6946875
160,1.093788981437683,0.0002,606.1065625
161,1.09377121925354,0.0002,608.8244375
162,1.0937583446502686,0.0002,607.5728125
163,1.0936954021453857,0.0002,606.76875
164,1.0935733318328857,0.0002,605.6299375
165,1.0937069654464722,0.0002,608.2725
166,1.093616247177124,0.0002,605.246875
167,1.0935399532318115,0.0002,609.301375
168,1.09364914894104,0.0002,611.3078125
169,1.0935215950012207,0.0002,607.4118125
170,1.0934696197509766,0.0002,606.39875
171,1.0935847759246826,0.0002,607.9823125
172,1.093433141708374,0.0002,605.4393125
173,1.0934826135635376,0.0002,605.649625
174,1.093512773513794,0.0002,609.619375
175,1.0934978723526,0.0002,605.3973125
176,1.0934255123138428,0.0002,610.45225
